Country,Year,GDP,Agriculture,Industry,Manufacturing,Services,CAGR
Afghanistan,2019,19.3,26,14,7,55.5,0.021765258
Albania,2019,15.3,18,20,6,48.6,0.02831735
Algeria,2019,171.1,12,37,24,46.2,0.006644461
American Samoa,2019,0.6,,,,,0
Andorra,2019,3.2,,,,,-0.006713433
Angola,2019,88.8,7,54,4,39.3,0.00646007
Antigua and Barbuda,2019,1.7,2,22,2,66.3,0.049557529
Argentina,2019,445.4,6,23,13,54.3,0.005591479
Armenia,2019,13.7,12,24,12,54.2,0.043982139
Aruba,2019,3.1,,,,,0.028845234
Australia,2019,"1,396.60",2,25,6,66,0.022206966
Austria,2019,445.1,1,26,17,62.8,0.014244079
Azerbaijan,2019,48,6,49,5,37.4,-0.010742145
"Bahamas, The",2019,13.6,1,13,2,71.2,0.033611907
Bahrain,2019,38.6,0,42,18,54.9,0.046232586
Bangladesh,2019,302.6,13,30,19,52.8,0.113166063
Barbados,2019,5.2,,,,,0.01619431
Belarus,2019,63.1,7,31,21,48.8,0.010967133
Belgium,2019,533.1,1,19,12,69.5,0.011492397
Belize,2019,1.9,10,12,6,65.5,0.034513527
Benin,2019,14.4,27,16,10,48,0.04729972
Bermuda,2019,7.5,0,6,1,89.2,0.01430506
Bhutan,2019,2.5,16,36,7,43.4,0.058400073
Bolivia,2019,40.9,12,25,10,50.7,0.085166453
Bosnia and Herzegovina,2019,20.2,6,24,13,55.7,0.018024201
Botswana,2019,18.3,2,28,5,58.2,0.0405166
Brazil,2019,"1,839.80",4,18,9,63.3,-0.020110344
Brunei Darussalam,2019,13.5,1,63,14,38.2,-0.001632682
Bulgaria,2019,68.6,3,22,,61.5,0.034849191
Burkina Faso,2019,16,20,26,10,44.5,0.052446057
Burundi,2019,3,29,11,,47.9,0.046081919
Cabo Verde,2019,2,5,20,7,61.4,0.018221684
Cambodia,2019,27.1,21,34,16,38.8,0.10316133
Cameroon,2019,39,15,26,14,51.5,0.045191632
Canada,2019,"1,736.40",,,,,0.008189829
Cayman Islands,2019,5.5,0,7,1,86.3,0.030416015
Central African Republic,2019,2.2,32,21,19,43.6,0.005182272
Chad,2019,11.3,43,14,3,40.5,0.006080521
Channel Islands,2019,,,,,,#DIV/0!
Chile,2019,282.3,4,29,10,58.7,0.028873922
China,2019,"14,342.90",7,39,27,53.9,0.09991142
"Hong Kong SAR, China",2019,365.7,0,6,1,88.7,0.053591071
"Macao SAR, China",2019,53.9,,4,1,94.2,0.075056731
Colombia,2019,323.6,7,26,11,57.6,0.013582602
Comoros,2019,1.2,33,9,,53.3,0.032481032
"Congo, Dem. Rep.",2019,50.4,20,41,20,35.4,0.098718177
"Congo, Rep.",2019,12.3,8,50,9,39.1,-0.006976988
Costa Rica,2019,61.8,4,18,11,69.6,0.057704628
Cote d'Ivoire,2019,58.5,21,21,12,43.1,0.099556097
Croatia,2019,60.8,3,20,12,58.8,0.001658405
Cuba,2019,100,4,25,13,70,0.050291599
Curacao,2019,3.1,0,17,9,73.5,0.003649959
Cyprus,2019,24.9,2,13,5,72.8,-0.003507522
Czech Republic,2019,250.7,2,31,22,56.9,0.020365084
