Country,Year,GDP,Agriculture,Industry,Manufacturing,Services
Afghanistan,2010,15.9,26,21,13,48.9
Albania,2010,11.9,18,25,5,44
Algeria,2010,161.2,8,51,39,40.3
American Samoa,2010,0.6,,,,
Andorra,2010,3.4,,,,
Angola,2010,83.8,6,52,5,41.9
Antigua and Barbuda,2010,1.1,2,16,2,70.7
Argentina,2010,423.6,7,25,16,51.5
Armenia,2010,9.3,18,28,9,45.7
Aruba,2010,2.4,0,16,3,69.6
Australia,2010,"1,146.10",2,25,8,65.7
Austria,2010,391.9,1,26,16,62.3
Azerbaijan,2010,52.9,6,60,5,28.2
"Bahamas, The",2010,10.1,1,11,2,81.1
Bahrain,2010,25.7,0,45,14,53.7
Bangladesh,2010,115.3,17,25,16,53.5
Barbados,2010,4.5,,,,
Belarus,2010,57.2,9,35,23,43.5
Belgium,2010,481,1,21,13,67.7
Belize,2010,1.4,12,19,12,60.3
Benin,2010,9.5,26,18,12,44.5
Bermuda,2010,6.6,0,7,1,88.9
Bhutan,2010,1.5,15,44,9,37.3
Bolivia,2010,19.6,10,30,11,43.6
Bosnia and Herzegovina,2010,17.2,7,22,11,55.5
Botswana,2010,12.8,2,32,6,52.7
Brazil,2010,"2,208.90",4,23,13,57.6
Brunei Darussalam,2010,13.7,1,69,15,32.5
Bulgaria,2010,50.4,4,23,,59.6
Burkina Faso,2010,10.1,24,26,12,42.1
Burundi,2010,2,38,15,9,37
Cabo Verde,2010,1.7,8,18,5,61.2
Cambodia,2010,11.2,34,22,15,38.3
Cameroon,2010,26.2,14,27,14,52.1
Canada,2010,"1,613.50",1,27,10,65.5
Cayman Islands,2010,4.2,0,7,1,87.6
Central African Republic,2010,2.1,37,25,18,29.3
Chad,2010,10.7,52,12,1,33.4
Channel Islands,2010,,,,,
Chile,2010,218.5,4,36,11,52.8
China,2010,"6,087.20",9,46,32,44.2
"Hong Kong SAR, China",2010,228.6,0,7,2,90.9
"Macao SAR, China",2010,28.1,..,5,1,94.4
Colombia,2010,286.6,6,31,14,53.4
Comoros,2010,0.9,30,12,,53.2
"Congo, Dem. Rep.",2010,21.6,21,39,16,35.4
"Congo, Rep.",2010,13.1,4,66,5,27.1
Costa Rica,2010,37.3,7,23,14,61.8
Cote d'Ivoire,2010,24.9,25,22,13,53.1
Croatia,2010,59.9,4,22,13,58.9
Cuba,2010,64.3,4,23,16,72.5
Curacao,2010,3,0,15,6,77
Cyprus,2010,25.7,2,14,5,71.6
Czech Republic,2010,209.1,2,33,21,55.8
Denmark,2010,322,1,20,11,65.4
